City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-02-02 14:07:48,-46.6,168.3333,57.47,90,100,18.32
1,Jiangyou,CN,2022-02-02 14:06:02,31.7667,104.7167,41.52,78,100,0.76
2,Zarubino,RU,2022-02-02 14:07:48,42.63,131.0922,16.25,57,7,22.39
3,Punta Arenas,CL,2022-02-02 14:03:53,-53.15,-70.9167,50.11,66,75,8.05
4,Mataura,NZ,2022-02-02 14:06:01,-46.1927,168.8643,58.98,99,100,5.01
5,Lavrentiya,RU,2022-02-02 14:07:49,65.5833,-171.0,-2.58,82,1,15.3
6,Washington,US,2022-02-02 14:04:23,47.5001,-120.5015,25.84,78,100,1.12
7,Rikitea,PF,2022-02-02 14:07:49,-23.1203,-134.9692,77.49,71,49,6.64
8,Taoudenni,ML,2022-02-02 14:07:50,22.6783,-3.9836,79.57,9,3,17.47
9,Kondinskoye,RU,2022-02-02 14:07:50,59.6481,67.41,24.31,95,100,13.24
10,Vaini,TO,2022-02-02 14:07:50,-21.2,-175.2,77.16,88,20,3.44
11,Gigmoto,PH,2022-02-02 14:07:51,13.7796,124.39,77.23,90,100,10.78
12,Chuy,UY,2022-02-02 14:07:51,-33.6971,-53.4616,79.93,50,0,6.76
13,New Norfolk,AU,2022-02-02 14:07:18,-42.7826,147.0587,56.71,60,98,3.06
14,Falefa,WS,2022-02-02 14:07:52,-13.887,-171.588,79.65,80,100,14.0
15,Busselton,AU,2022-02-02 14:07:52,-33.65,115.3333,78.04,33,99,13.2
16,Ilulissat,GL,2022-02-02 14:07:52,69.2167,-51.1,3.22,78,75,24.16
17,Tema,GH,2022-02-02 14:07:53,5.667,-0.0166,89.38,44,0,10.67
18,Aklavik,CA,2022-02-02 14:07:53,68.2191,-135.0107,-33.88,100,54,5.08
19,Verkhnevilyuysk,RU,2022-02-02 14:07:53,63.4453,120.3167,-20.0,98,97,5.64
20,Namtsy,RU,2022-02-02 14:07:54,62.7161,129.6658,-25.49,99,100,1.1
21,Fortuna,US,2022-02-02 14:06:35,40.5982,-124.1573,40.98,84,0,9.22
22,North Myrtle Beach,US,2022-02-02 14:07:54,33.816,-78.68,45.1,84,0,8.05
23,Ushuaia,AR,2022-02-02 14:07:55,-54.8,-68.3,47.82,80,99,3.18
24,Cidreira,BR,2022-02-02 14:07:55,-30.1811,-50.2056,79.3,71,4,11.99
25,Arlit,NE,2022-02-02 14:07:55,18.7369,7.3853,81.84,7,3,10.25
26,Ribeira Grande,PT,2022-02-02 14:07:56,38.5167,-28.7,64.8,63,20,8.05
27,Nome,US,2022-02-02 14:07:56,64.5011,-165.4064,14.07,57,0,35.68
28,Yinchuan,CN,2022-02-02 14:07:56,38.4681,106.2731,22.69,19,0,6.13
29,Chokurdakh,RU,2022-02-02 14:06:34,70.6333,147.9167,-12.28,98,100,7.14
30,Brest,BY,2022-02-02 14:07:57,52.1,23.7,35.56,100,100,8.95
31,Hambantota,LK,2022-02-02 14:07:57,6.1241,81.1185,79.14,83,40,6.91
32,East London,ZA,2022-02-02 14:07:57,-33.0153,27.9116,85.14,79,0,5.75
33,Vila Franca Do Campo,PT,2022-02-02 14:07:58,37.7167,-25.4333,64.2,68,31,9.33
34,Namibe,AO,2022-02-02 14:07:58,-15.1961,12.1522,79.0,56,97,15.55
35,Qaqortoq,GL,2022-02-02 14:07:59,60.7167,-46.0333,-0.69,77,6,5.75
36,Dunedin,NZ,2022-02-02 14:07:59,-45.8742,170.5036,61.74,98,100,2.86
37,Dwarka,IN,2022-02-02 14:07:59,22.2394,68.9678,73.92,74,2,12.1
38,Konongo,GH,2022-02-02 14:08:00,6.6167,-1.2167,100.02,8,2,1.99
39,Termoli,IT,2022-02-02 14:08:00,41.9888,14.9895,56.57,45,0,8.25
40,Ambon,ID,2022-02-02 14:06:59,-3.6954,128.1814,78.94,89,20,2.3
41,Hilo,US,2022-02-02 14:06:09,19.7297,-155.09,67.8,75,40,8.05
42,Angoche,MZ,2022-02-02 14:08:01,-16.2325,39.9086,83.53,69,34,8.3
43,Te Anau,NZ,2022-02-02 14:08:01,-45.4167,167.7167,62.28,97,100,3.38
44,Mahibadhoo,MV,2022-02-02 14:08:01,3.7833,72.9667,82.33,73,9,12.95
45,Ocampo,MX,2022-02-02 14:08:02,21.65,-101.5,46.09,47,0,7.61
46,Harper,LR,2022-02-02 14:09:02,4.375,-7.7169,84.94,63,46,9.93
47,Albany,US,2022-02-02 14:05:26,42.6001,-73.9662,37.31,78,100,1.99
48,Upernavik,GL,2022-02-02 14:08:11,72.7868,-56.1549,-8.75,64,100,6.04
49,Castro,BR,2022-02-02 14:09:03,-24.7911,-50.0119,73.24,71,87,5.55
50,Sao Mateus,BR,2022-02-02 14:04:31,-18.7161,-39.8589,83.68,68,100,2.59
51,Hermanus,ZA,2022-02-02 14:06:02,-34.4187,19.2345,79.81,70,28,24.58
52,Souillac,MU,2022-02-02 14:06:45,-20.5167,57.5167,80.37,88,100,36.33
53,Cape Town,ZA,2022-02-02 14:06:00,-33.9258,18.4232,70.27,87,100,5.01
54,May Pen,JM,2022-02-02 14:09:04,17.9645,-77.2451,75.2,71,1,4.7
55,Yangshe,CN,2022-02-02 14:09:04,31.8899,120.6052,41.02,95,100,1.99
56,Urucara,BR,2022-02-02 14:09:05,-2.5364,-57.76,76.96,95,89,3.96
57,Mahasamund,IN,2022-02-02 14:09:05,21.1,82.1,73.67,29,3,1.01
