City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
499,Eyl,SO,73.81,clear sky,7.9803,49.8164,Amiin Hotel
505,Lompoc,US,80.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
508,Ibirite,BR,84.76,broken clouds,-20.0219,-44.0589,Jangada Hotel
510,San Pedro,PH,78.35,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
511,Barabai,ID,73.02,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
513,Balud,PH,80.56,overcast clouds,10.1476,123.6953,Pulchra Resort
516,Gisborne,NZ,70.95,broken clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
517,Aripuana,BR,84.13,light rain,-9.1667,-60.6333,
518,Ambovombe,MG,75.16,broken clouds,-25.1667,46.0833,RELAHARA
520,Maldonado,UY,83.59,clear sky,-34.6667,-54.9167,La Cimarrona
529,Sao Filipe,CV,79.7,overcast clouds,14.8961,-24.4956,Hotel Xaguate
530,Vangaindrano,MG,76.89,broken clouds,-23.35,47.6,Hotel Fanilo
532,Bloemfontein,ZA,80.08,few clouds,-29.1211,26.214,aha Bloemfontein Hotel
535,Teahupoo,PF,75.16,light rain,-17.8333,-149.2667,Vanira Lodge
538,Ribas Do Rio Pardo,BR,88.2,overcast clouds,-20.4431,-53.7592,Pousada Avenida
540,Kalmunai,LK,77.81,few clouds,7.4167,81.8167,VS Villa
546,Omboue,GA,79.66,moderate rain,-1.5746,9.2618,Hotel Olako
551,Samarai,PG,81.64,overcast clouds,-10.6167,150.6667,Nuli Sapi
555,Tual,ID,80.62,light rain,-5.6667,132.75,Grand Vilia Hotel
557,Matara,LK,75.72,light rain,5.9485,80.5353,Amaloh Boutique Resort
562,Karaton,ID,77.16,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
568,Auki,SB,77.68,very heavy rain,-8.7676,160.7034,Auki Motel
570,Diego De Almagro,CL,78.64,clear sky,-26.3667,-70.05,hotel luna del desierto
571,Soyo,AO,82.45,few clouds,-6.1349,12.3689,Hotel Mpampa
572,Mobaye,CF,86.16,overcast clouds,4.319,21.1786,
573,Puerto Cabezas,NI,84.16,broken clouds,14.0351,-83.3888,Cabaña Caribe
574,Vallenar,CL,78.75,scattered clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
579,Adrar,MR,79.47,scattered clouds,20.5022,-10.0711,
581,Moerai,PF,79.61,overcast clouds,-22.4333,-151.3333,Le Manotel
582,Palmerston,AU,80.58,overcast clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
586,Yokadouma,CM,84.76,scattered clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
589,Batticaloa,LK,78.15,few clouds,7.7102,81.6924,Grand Star Guest House
593,Pio Ix,BR,87.84,light rain,-6.8375,-40.5792,Hotel Central
595,Mogadishu,SO,77.63,clear sky,2.0371,45.3438,Hotel Juba
597,Ende,ID,77.14,heavy intensity rain,-8.8432,121.6623,Dwi Putra Hotel - Ende
601,Singaparna,ID,72.84,light rain,-7.3515,108.111,Wisma Dewi Hotel
602,Vao,NC,81.68,light rain,-22.6667,167.4833,Hotel Kou-Bugny
605,Mollendo,PE,73.69,overcast clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
606,Kailua,US,73.38,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
607,Progreso,MX,79.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
609,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
611,Ormara,PK,71.06,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
614,Charters Towers,AU,73.15,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
615,Picota,PE,86.49,overcast clouds,-6.9197,-76.3304,Hospedaje Vanessa
616,Bitung,ID,77.85,light rain,1.4451,125.1824,K2 Lembeh
622,Moussoro,TD,76.26,clear sky,13.6408,16.4901,Hôtel Salama
638,Nairobi,KE,73.27,few clouds,-1.2833,36.8167,Hilton Nairobi
642,Pouembout,NC,78.96,overcast clouds,-21.1333,164.9,Camping de Tipenga
644,Balabac,PH,79.74,broken clouds,7.9868,117.0645,Batalla’s Lodging House
646,Jacareacanga,BR,74.19,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
647,Mahajanga,MG,80.62,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
648,Road Town,VG,82.49,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
651,Luganville,VU,77.68,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
653,Kathu,TH,86.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
654,Am Timan,TD,85.35,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
655,Salinopolis,BR,79.95,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
660,Kitangari,TZ,71.51,overcast clouds,-10.65,39.3333,
661,Carmen,MX,73.44,overcast clouds,18.6333,-91.8333,Hotel Lossandes
662,Rodrigues Alves,BR,84.4,overcast clouds,-7.738,-72.6509,Pousada Aconchego
665,Lavumisa,SZ,87.12,broken clouds,-27.31,31.892,ROADSIDE B&B
668,Sola,VU,82.4,overcast clouds,-13.8833,167.55,Leumerus Bungalows
670,Nueva Loja,EC,85.48,scattered clouds,0.0847,-76.8828,Limoncocha Great Hotel
671,Baillif,GP,83.7,few clouds,16.0202,-61.7463,Hôtel Saint-Georges
