City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
85,Yellowknife,62.456,-114.3525,-9.58,78,75,18.41,light snow
86,Longyearbyen,78.2186,15.6401,22.84,74,75,11.5,broken clouds
87,Bluff,-46.6,168.3333,59.81,89,95,14.05,overcast clouds
88,Yaring,6.8662,101.3689,77.88,82,100,6.93,overcast clouds
89,Port Elizabeth,-33.918,25.5701,71.89,78,40,16.11,scattered clouds
90,Anadyr,64.75,177.4833,-16.1,76,0,13.42,clear sky
91,Baruun-Urt,46.6806,113.2792,-4.56,99,87,4.45,overcast clouds
92,Meadow Lake,34.8014,-106.5436,45.48,57,34,2.04,scattered clouds
93,Ribeira Grande,38.5167,-28.7,63.0,59,20,4.61,few clouds
94,Sarkand,45.41,79.9186,20.62,90,100,2.77,overcast clouds
95,Torbay,47.6666,-52.7314,40.87,76,75,9.22,broken clouds
96,Antofagasta,-23.65,-70.4,73.22,53,1,7.38,clear sky
97,Pouebo,-20.4,164.5667,78.6,91,100,14.65,overcast clouds
98,Puerto Ayora,-0.7393,-90.3518,80.56,85,89,8.01,overcast clouds
99,Cascais,38.6979,-9.4215,64.62,69,20,15.01,few clouds
100,Ponta Do Sol,32.6667,-17.1,70.72,80,100,6.08,overcast clouds
101,Livingston,55.9029,-3.5226,43.59,71,40,14.97,scattered clouds
102,Victoria,22.2855,114.1577,65.25,87,100,11.99,overcast clouds
103,Kushima,31.4583,131.2333,44.11,80,5,7.14,clear sky
104,Cabra,37.4725,-4.4421,67.14,32,11,1.01,few clouds
105,Tiksi,71.6872,128.8694,-11.42,92,100,16.06,overcast clouds
106,Sarlat-La-Caneda,44.889,1.2166,63.34,69,24,2.93,few clouds
107,Kodiak,57.79,-152.4072,17.11,73,0,3.44,clear sky
108,High Level,58.5169,-117.136,1.51,85,100,10.36,light snow
109,Mahajanga,-15.7167,46.3167,82.42,83,40,11.5,scattered clouds
110,Vila Franca Do Campo,37.7167,-25.4333,63.01,65,75,7.67,broken clouds
111,Udachnyy,66.4167,112.4,-6.56,76,100,5.5,overcast clouds
112,Kamaishi,39.2667,141.8833,32.99,85,100,8.01,light snow
113,Monte Alegre,-2.0078,-54.0692,81.41,80,87,1.95,overcast clouds
114,Nantucket,41.2835,-70.0995,48.96,83,0,12.66,clear sky
115,Iquitos,-3.7481,-73.2472,82.44,74,75,3.44,broken clouds
116,Mataura,-46.1927,168.8643,59.49,98,56,1.74,broken clouds
117,Eydhafushi,5.1033,73.0708,81.82,73,87,9.93,overcast clouds
118,Bambous Virieux,-20.3428,57.7575,80.22,83,40,5.75,light rain
119,Kavieng,-2.5744,150.7967,80.91,80,100,7.27,light rain
120,Avarua,-21.2078,-159.775,71.65,100,100,1.14,overcast clouds
121,Leningradskiy,69.3833,178.4167,-25.91,96,98,4.85,overcast clouds
122,Pitimbu,-7.4706,-34.8086,88.39,53,31,11.23,scattered clouds
123,Bud,39.447,-86.1758,36.12,80,6,12.53,clear sky
124,Mount Gambier,-37.8333,140.7667,49.91,93,40,0.0,scattered clouds
125,Hamilton,39.1834,-84.5333,41.59,68,0,11.5,clear sky
126,Husavik,66.0449,-17.3389,28.31,81,79,12.66,broken clouds
127,Sanmenxia,34.7747,111.1814,40.33,51,100,5.61,overcast clouds
128,Kruisfontein,-34.0033,24.7314,67.33,74,64,14.03,broken clouds
129,Tavda,58.0425,65.2726,4.84,92,96,9.17,overcast clouds
130,Nikolskoye,59.7035,30.7861,36.88,91,94,10.2,light snow
131,Zyryanka,65.75,150.85,-38.38,98,70,5.37,broken clouds
132,Arraial Do Cabo,-22.9661,-42.0278,75.16,78,75,3.44,broken clouds
133,Roma,43.2128,-75.4557,39.4,91,100,10.0,overcast clouds
134,Intipuca,13.1969,-88.0544,82.35,40,6,4.61,clear sky
135,Cherskiy,68.75,161.3,-38.81,100,100,6.06,overcast clouds
136,Catamarca,-28.4696,-65.7852,92.77,33,0,5.01,clear sky
137,Curuca,-0.7289,-47.8481,80.35,87,93,5.82,overcast clouds
